"Tweet_name","Tweet_Time","Tweet_Time_url"
"**BREAKING**
Western Union on the usability of blockchain technology such as #Ripple in their business.
I suggest you listen to the Webcast, Starting at minute 33:
https://www.veracast.com/webcasts/baml/technology2018/id19307348715.cfm …
I had to remove the direct quote, it is not allowed to quote directly.
#ripple #xrp","Jun 7","https://twitter.com/C3_Nik/status/1004792591647375361"
"I will stay honest to myself and to you, my followers.
I will share any legitimate criticism concerning Ripple if I do find it. We have invested real money and there are enough echo chambers in crypto.
Really struggling to find legitimate criticism though.
#ripple #xrp","23h","https://twitter.com/C3_Nik/status/1004853084911173632"
"#Ripple is the ONLY company that sets targets and hits every single one of them on time. I don't care if you hate Ripple and #XRP now. you need to stop being a sheep, wake the hell up and look into what they are doing. don't be that person that regrets not investing","8h","https://twitter.com/DanPallatina/status/1005089670487781377"
"“Banks won’t use XRP”. Funny how the FUD has gone very quiet recently. #xrp #ripple #XRPTheStandard","Jun 7","https://twitter.com/CryptoFrank78/status/1004650520856940546"
"#Giveaway 100k #tron #TRX tokens
Like
Retweet
Follow
Comment your ether wallet address
Winner chosen this Monday at 12pm BST
#BTC #bitcoin #litecoin #ltc #ripple #xrp #dash #eth #verge #XVG #crypto #Binance #ico #airdrop #ethereum #cryptocurrency #ETH #airdrop","Jun 3","https://twitter.com/Coin3t/status/1003209025461161984"
"In a few years you will have people amazed you invested in #xrp at such an early stage. Similar to investing early in Google starting out in their garage or Amazon selling a few books. #xrpthestandard #XRPCommunity #Ripple","Jun 5","https://twitter.com/JerryCoinXRP/status/1004120273073950723"
"5 different 51% attacks in the last month.
Inevitable death of Proof-of-Work incoming?
Why risk your money, aside from it's other in-efficiencies?
In Proof-of-Consensus, there is no such risk. And it's faster and cheaper too.
#XRP
#Ripple #crypto
https://www.coindesk.com/blockchains-feared-51-attack-now-becoming-regular/amp/ …","1h","https://twitter.com/Dave_Jonez_02/status/1005190446862266368"
"Today is a good day Twitter finally lifted my restrictions and now I can follow people. So much easier finding content when you are allowed to follow people
#XRPcommunity #xrp #xrpthestandard #Ripple","11h","https://twitter.com/Xrp_zerp/status/1005033399822798852"
"""When we do it, it will be number one in the blink of an eye "" -Kitao Yoshitaka (CEO of SBI Group)
#xrpthestandard #ripple #xrp #crypto #cryptocurrency $XRP","Jun 3","https://twitter.com/XRPworld/status/1003381015279210497"
"Western Union talked about blockchain technology and Ripple today.
I think it is important that the quote is shared in full. Here you go. :-)
The transcript is now in the public domain so I can post it here. Provided by exodus3252 on Reddit.
#ripple #xrp #xrpcommunity pic.twitter.com/CGOD7Y4w8R","Jun 7","https://twitter.com/C3_Nik/status/1004814617804189696"
"Reminder:
A lot of the original 20000 SBI VC users have not even received their initial password yet. That is being delivered via postal service.
#StaggeredRelease #xrp #ripple #xrpthestandard","Jun 5","https://twitter.com/C3_Nik/status/1003951804269375489"
"Things that make me mad
-Price Predictions
-People with technical analysis
-People calling XRP a shit coin with no backing facts
-The term “when lambo”
-The term “moon”
Just buy your damn #xrp and hold it. If we drop. Buy more. Forget the damn lambo man!
#ripple #xrparmy","15h","https://twitter.com/DanPallatina/status/1004980625340796928"
"#XRP is extremely undervalued. The rise of Bitcoin will be a shadow of the rise of XRP we are going to witness in the years ahead. #Ripple","2h","https://twitter.com/Gerardo_NL/status/1005175882397478912"
"SBI virtual currency exchange to Start business from June 4th 2018
URL https://www.nikkei.com/article/DGXMZO31313130T00C18A6TJC000/ …
Translated https://translate.google.com/translate?sl=auto&tl=en&js=y&prev=_t&hl=en&ie=UTF-8&u=https%3A%2F%2Fwww.nikkei.com%2Farticle%2FDGXMZO31313130T00C18A6TJC000%2F&edit-text=&act=url …
#XRP #SBIVC #Ripple #リップル","Jun 3","https://twitter.com/BankXRP/status/1003358978179567617"
"#Giveaway $10 in $Xrp
-Like
-Retweet
-Follow
-Comment down below with your #XRP address and tag
Like and Retweet it for a higher chance of winning!
#XRP #BTC #bitcoin #litecoin #ltc #ripple #xrp #dash #eth #verge #XVG #crypto #Binance #ico #airdrop #ethereum #TRX #tron","Jun 3","https://twitter.com/Coin3t/status/1003210096262778882"
"Because there were a lot of Votes and Wallets commented I will be doing multiple #Ripple #XRP giveaways today to submitted wallets.
5 will get 5 XRP
5 will get 10 XRP
3 will get 25 XRP
1 will get 100 XRP
Vote winner will get the 250 XRP
So in the next 7 hours..500 XRP on the way","Jun 6","https://twitter.com/KingRippleXRP/status/1004369657116098560"
"Love Her?
Hate Her?
Either way, sooner than later, #Ripple #XRP will blow your mind.","4h","https://twitter.com/KingRippleXRP/status/1005140005734346753"
"Confirmed: XRP trading will be available on NASDAQ powered exchange http://dx.exchange on launch day! It will go live in June.
#xrp #xrpthestandard #ripple","Jun 5","https://twitter.com/XRP_RippleLove/status/1004249841168408577"
"Hey everyone! I think I found proof as to why XRP is not considered a security. Video posting in 10.
#xrpcommunity #xrp #ripple #staytuned","Jun 7","https://twitter.com/thekungfunerd/status/1004829720024899585"
"The Race is starting in 2018
SBI virtual currencies
#XRP #Ripple #sbivc #リップル @yoshitaka_kitao pic.twitter.com/Zu8wl8WdQU","Jun 3","https://twitter.com/BankXRP/status/1003378725067612160"